Product id,Part Number,,Description,Highest similarity percentage,duplicates,
32531,1333-BAB,A," The Allen-Bradley 1333-BAB Adjustable Frequency AC Drive operates with 3 Hp, 2.2 kW, and a 380/415/460V AC Input Voltage. The 1333-BAB has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.31182796,,
32524,1333-CAA,A," The Allen-Bradley 1333-CAA Adjustable Frequency AC Drive operates with 5 Hp, 4 kW, and a 200/208/230V AC Input Voltage. The 1333-CAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.84946237,,
32525,1333-DAA,A," The Allen-Bradley 1333-DAA Adjustable Frequency AC Drive operates with 7.5 Hp, 5.5 kW, and a 200/208/230V AC Input Voltage. The 1333-DAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.08222812,,
32526,1333-EAA,A," The Allen-Bradley 1333-EAA Adjustable Frequency AC Drive operates with 10 Hp, 7.5 kW, and a 200/208/230V AC Input Voltage. The 1333-EAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.6,,
32527,1333-FAA,A," The Allen-Bradley 1333-FAA Adjustable Frequency AC Drive operates with 15 Hp, 11 kW, and a 200/208/230V AC Input Voltage. The 1333-FAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.32620321,,
32522,1333-YAA,A," The Allen-Bradley 1333-YAA Adjustable Frequency AC Drive operates with 2 Hp, 1.5 kW, and a 200/208/230V AC Input Voltage. The 1333-YAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",98.39572193,,
32530,1333-YAB,A," The Allen-Bradley 1333-YAB Adjustable Frequency AC Drive operates with 2 Hp, 1.5 kW, and a 380/415/460V AC Input Voltage. The 1333-YAB has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.32620321,,
32520,1333-ZAA,A," The Allen-Bradley 1333-ZAA Adjustable Frequency AC Drive operates with 0.75 Hp, 0.55 kW, and a 200/208/230V AC Input Voltage. The 1333-ZAA has a NEMA Type 1 (IP20) Enclosure and 50/60 Hertz.",97.36842105,,
14924,1336-103618,A,Allen-Bradley Terminal Board with a Fuse Holder and 3 HP,,,
14925,1336-120630,A,Allen-Bradley Noise Suppressor,,,
14926,1336-120659,A,Allen-Bradley Operator Interface Control Board with BC4000215 Alternative Part Number,,,
14928,1336-120663,A,Allen-Bradley Drive Interface Board with 3-200 HP and SP-120663 Alternative Part Number,,,
14929,1336-120712,A,Allen-Bradley Drive Board with Local Operator Station and 6-Button Interface,,,
14930,1336-120760,A,Allen-Bradley Isolated Signal Conditioner with 115/230 VAC Operating Power,,,
14931,1336-120881,A,Allen-Bradley Precharge Board with 3-30 Horsepower,,,
14932,1336-120883-7-02,A,Allen-Bradley Transformformer with 100V AC power.,,,
14933,1336-133401,A,Allen-Bradley Display Monitor Assembly with a Four-Button Interface Option,,,
14934,1336-135007,A,Allen-Bradley Pre-Charge AC Drive with 40-50 Horsepower,,,
14936,1336-135766,A,Allen-Bradley Transistor with Snubbers with a B003-B010 rating code and 3 per Drive,,,
14937,1336-135767,A,Allen-Bradley Transistor with Snubbers with a B015 rating code and 3 per Drive,,,
14938,1336-135768,A,Allen-Bradley Transistor with Snubbers with a B020 rating code and 3 per Drive,,,
14939,1336-135769,A,Allen-Bradley Transistor with Snubbers with a B025-B030 rating code and 3 per Drive,,,
14940,1336-135770,A,"Allen-Bradley Thermostat with a B003-B200, C003-C200 rating code and 1 per Drive",,,
14941,1336-135771,A,Allen-Bradley Surge Suppressor with a B003-B200 rating code and 1 per Drive,,,
14942,1336-135772,A,Allen-Bradley Bridge Rectifier (Diode) with a B020-B030 rating code and 1 per Drive,,,
14943,1336-135774,A,"Allen-Bradley Current Transformer with a B003-B030, C003-C030 rating code and 1 per Drive",,,
14945,1336-135777,A,Allen-Bradley Bridge Rectifier (Diode) with a B003-B015 rating code and 1 per Drive,,,
14946,1336-135780,A,"Allen-Bradley DC Bus Inductor with a B025, C030 rating code and 1 per Drive",,,
14947,1336-135893,A,Allen-Bradley Precharge PCB with a B075 rating code and 1 per Drive,,,
14948,1336-140142,A,Allen-Bradley Bridge Rectifier Diode with a B040-B050 rating code and 3 per Drive,,,
14949,1336-140145,A,"Allen-Bradley Current Transformer with a B075-B150, C075-C125 rating code and 1 per Drive",,,
14950,1336-140146,A,"Allen-Bradley Current Transducer with a B050-B060, B075-B150, C040-C125 rating code and 1, 3, 3 per Drive",,,
14951,1336-140147,A,"Allen-Bradley Precharge Switch with a B040-B050, C040-C050 rating code and 1 per Drive",,,
14952,1336-140150,A,"Allen-Bradley Precharge PCB with a B040-B060, C040-C050 rating code and 1 per Drive",,,
14953,1336-140310,A,Allen-Bradley Precharge PCB with a B125 rating code and 1 per Drive,,,
14954,1336-140311,A,Allen-Bradley Precharge PCB with a B150 rating code and 1 per Drive,,,
14955,1336-140550,A,"Allen-Bradley Bus Capacitor with a B075-B150, B200-B250, C075-C200 rating code and 6, 10, 8 per Drive",,,
14956,1336-140574,A,Allen-Bradley Transistor with Snubbers with a B100-B125 rating code and 6 per Drive,,,
14957,1336-140582,A,Allen-Bradley Bridge Rectifier SCR with a B075-B125 rating code and 3 per Drive,,,
14958,1336-140588,A,"Allen-Bradley Bus Fuse with a B100, C100 rating code and 1 per Drive",,,
14959,1336-142492,A,Allen-Bradley Bridge Rectifier Diode with a B025-B040 rating code and 1 per Drive,,,
14960,1336-142533,A,Allen-Bradley Precharge PCB with a B150 rating code and 1 per Drive,,,
14961,1336-142693,A,Allen-Bradley Bridge Rectifier Diode with a C020-C030 rating code and 1 per Drive,,,
14962,1336-142695,A,Allen-Bradley Bus Capacitor with a C025-C030 rating code and 6 per Drive,,,
14963,1336-142698,A,Allen-Bradley Current Transducer with a C025-C030 rating code and 1 per Drive,,,
14964,1336-142742,A,Allen-Bradley Pre-charge PCB with a C200 rating code and 1 per Drive,,,
14965,1336-142743,A,Allen-Bradley Suppressor Surge with a C003-C200 rating code and 1 per Drive,,,
14966,1336-142744,A,Allen-Bradley Pre-charge Switch with a C003-C030 rating code and 1 per Drive,,,
14967,1336-142751,A,Allen-Bradley Transistor with Snubbers with a C100-C125 rating code and 6 per Drive,,,
14968,1336-151131,A,Allen-Bradley Power Supply Base Driver with a B003 rating code and 1 per Drive,,,
14969,1336-151132,A,Allen-Bradley Power Supply Base Driver with a B005 rating code and 1 per Drive,,,
14970,1336-151133,A,Allen-Bradley Power Supply Base Driver with a B007 rating code and 1 per Drive,,,
14971,1336-151134,A,Allen-Bradley Power Supply Base Driver with a B010 rating code and 1 per Drive,,,
14972,1336-151135,A,Allen-Bradley Power Supply Base Driver with a B015 rating code and 1 per Drive,,,
14973,1336-151136,A,Allen-Bradley Power Supply Base Driver with a B020 rating code and 1 per Drive,,,
14974,1336-151138,A,Allen-Bradley Power Supply Base Driver with a B030 rating code and 1 per Drive,,,
14975,1336-151141,A,Allen-Bradley Power Supply Base Driver with a B075 rating code and 1 per Drive,,,
14976,1336-151146,A,Allen-Bradley Power Supply Base Driver with a C003 rating code and 1 per Drive,,,
14977,1336-151149,A,Allen-Bradley Power Supply Base Driver with a C010 rating code and 1 per Drive,,,
14978,1336-151150,A,Allen-Bradley Power Supply Base Driver with a C015 rating code and 1 per Drive,,,
14979,1336-151153,A,Allen-Bradley Power Supply Base Driver with a C030 rating code and 1 per Drive,,,
14980,1336-151155,A,Allen-Bradley Power Supply Base Driver with a C050 rating code and 1 per Drive,,,
14981,1336-151157,A,Allen-Bradley Power Supply Base Driver with 100 HP and 575 VAC Operating power,,,
14982,1336-151174,A,Allen-Bradley Power Control Board,,,
14983,1336-151175,A,"Allen-Bradley Power Supply Board Kit with 150 Horsepower , 460 VAC Operating Power, and 180 Amps",,,
14984,1336-151754,A,Allen-Bradley Transistor Kit with 25-30 HP and 575 Volts,,,
14985,1336-155970,A,Allen-Bradley Assembly Kit with 40-50 HP and 460 VAC,,,
14843,1336-BD-12A,A,Allen Bradley-DIODE REPLACEMENT KIT Adjustable Frequency Drive,,,
14523,1336-BDB-KONE,A,Allen Bradley-1336 KIT Adjustable Frequency Drive,,,
14855,1336-BDBMX3-SP15D,A,"Allen Bradley-GATE DRVR BOARD 25 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14856,1336-BDBMX3-SP17D,A,"Allen Bradley-GATE DRVR BOARD 40 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14857,1336-BDBMX3-SP18D,A,"Allen Bradley-GATE DRVR BOARD 50 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14858,1336-BDBMX3-SP19D,A,"Allen Bradley-GATE DRIVER BD,S T E ,460V,X60HP,COATED Adjustable Frequency Drive",,,
14859,1336-BDBMX3-SP1D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,480V,7.5HP,COATED Adjustable Frequency Drive",,,
14860,1336-BDBMX3-SP23D,A,"Allen Bradley-GATE DRVR BOARD 50 HP, 575V, SA, COATED Adjustable Frequency Drive",,,
14861,1336-BDBMX3-SP24D,A,"Allen Bradley-GATE DRIVER BD,S T E ,575V,60HP,COATED Adjustable Frequency Drive",,,
14862,1336-BDBMX3-SP29D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,460V,75HP, COATED Adjustable Frequency Drive",,,
14863,1336-BDBMX3-SP2D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,480V,10HP,COATED Adjustable Frequency Drive",,,
14864,1336-BDBMX3-SP31D,A,"Allen Bradley-PCB,GATE DRV,1336STG,460V,125X150HP,COAT Adjustable Frequency Drive",,,
14865,1336-BDBMX3-SP34D,A,"Allen Bradley-PCB,GATE DRV,1336STG,575V,125HP, COATED Adjustable Frequency Drive",,,
14866,1336-BDBMX3-SP37D,A,"<p>Allen Bradley-GATE DRVR BOARD 150 HP 460V SA COATED Adjustable Frequency Drive</p>
",,,
14867,1336-BDBMX3-SP39D,A,"Allen Bradley-GATE DRVR BOARD 250 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14868,1336-BDBMX3-SP4D,A,"Allen Bradley-GATE DRVR BOARD 20 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14869,1336-BDBMX3-SP56D,A,"Allen Bradley-ASSY,PCB,COAT,MX3,GATE DR ,X150HP,460V, Adjustable Frequency Drive",,,
14870,1336-BDBMX3-SP57D,A,"Allen Bradley-GATE DRVR BOARD X40 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14871,1336-BDBMX3-SP58A,A,"Allen Bradley-GATE DRVR BOARD 200 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14872,1336-BDBMX3-SP61A,A,"Allen Bradley-GATE DRIVER BOARD 75 HP, 575V, SA,COATED Adjustable Frequency Drive",,,
14873,1336-BDBMX3-SP62A,A,"Allen Bradley-GATE DRVR BOARD 150 HP, 575V, SA,COATED Adjustable Frequency Drive",,,
14874,1336-BDBMX3-SP63A,A,"Allen Bradley-GATE DRVR BOARD 600 HP,650VDC,CB,COATED Adjustable Frequency Drive",,,
14875,1336-BDBMX3-SP69D,A,"Allen Bradley-PCB,GATE DRIVE,1336ET,460V,800HP, COATED Adjustable Frequency Drive",,,
14876,1336-BDBMX3-SP6D,A,"Allen Bradley-GATE DRVR BOARD 30 HP, 460V, SA, COATED Adjustable Frequency Drive",,,
14877,1336-BDBMX3-SP70D,A,"Allen Bradley-PCB GATE DRV 1336E,T 460,700HP,CONF COAT Adjustable Frequency Drive",,,
14878,1336-BDBMX3-SP72D,A,"Allen Bradley-PCB,GAE DRV,1336STE,480V,250H,F FRM,COAT Adjustable Frequency Drive",,,
14879,1336-BDBMX3-SP75D,A,"Allen Bradley-PCB,GATE DRV,1336STEF,480V,400HP F,COAT Adjustable Frequency Drive",,,
14880,1336-BDBMX3-SP76D,A,"Allen Bradley-PCB,GATE DRV,1336STEF,480V,450HP,F,COAT Adjustable Frequency Drive",,,
14524,1336-BDB-SP10D,A,"Allen Bradley-KIT,PCB,SPARE,GATE,DRIVER1336 W T, 20HP, Adjustable Frequency Drive",,,
14525,1336-BDB-SP10E,A,Allen Bradley-1336 KIT Adjustable Frequency Drive,,,
14462,1336-BDB-SP11D,A,Allen-Bradley PCB Gate Drive Board with 230V AC voltage and 7.5HP,,,
14526,1336-BDB-SP12D,A,"Allen Bradley-KIT,PCB,SPARE,GATE,DRIVER1336S T, 10HP, Adjustable Frequency Drive",,,
14527,1336-BDB-SP12E,A,Allen Bradley-1336-BDB-SP12E Adjustable Frequency Drive,,,
64935,1336-BDB-SP13D,A,"<p>The Allen-Bradley 1336-BDB-SP13D PCB&nbsp;kit is made for the Allen-Bradley 1336 Plus, Impact, and Force AC Drives. It is compatible with B-Frame 1336 drives with 230 Volts AC voltage ratings and 15 Horsepower output ratings.</p>
",97.65458422,,
14529,1336-BDB-SP13E,A,"Allen Bradley-ASSY KIT, B2 FRM,1336F,15HP,GATE- DIODE Adjustable Frequency Drive",,,
14530,1336-BDB-SP15D,A,"Allen Bradley-PCB,GATE DRIVE,1336STGF,230V,25HP Adjustable Frequency Drive",,,
14531,1336-BDB-SP16D,A,"Allen Bradley-PCB,GATE DRIVE,1336STGF,230V,30HP Adjustable Frequency Drive",,,
14464,1336-BDB-SP17D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 40HP,,,
14466,1336-BDB-SP18B,A,"<p>Allen-Bradley PCB Gate Drive Board with 50 HP</p>
",,,
14467,1336-BDB-SP18D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 50 HP,,,
64932,1336-BDB-SP19B,A,"<p>The Allen-Bradley 1336-BDB-SP19B PCB Gate Drive&nbsp;Board kit&nbsp;is made for the Allen-Bradley 1336 Plus, Plus II, Impact, and Force AC Drives. It is compatible with the C Frame 1336 drives with 460 Volts AC voltage ratings and 40 to 50 Horsepower output ratings.</p>
",95.70093458,,
14469,1336-BDB-SP19D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and X60 HP,,,
14471,1336-BDB-SP1D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 7.5 HP,,,
65148,1336-BDB-SP20D,A,"<p>The&nbsp;1336-BDB-SP20D Printed Circuit Board (PCB) is a gate drive PCB. It has a voltage rating of 575 Volts AC.</p>
",,,
14472,1336-BDB-SP21D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 30 HP,,,
14474,1336-BDB-SP22D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 40 HP,,,
14476,1336-BDB-SP23D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 50 HP,,,
14478,1336-BDB-SP24D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 60 HP,,,
14532,1336-BDB-SP25D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,230V,40HP Adjustable Frequency Drive",,,
14533,1336-BDB-SP26D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,230V,50HP Adjustable Frequency Drive",,,
14534,1336-BDB-SP27D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,230V,60HP Adjustable Frequency Drive",,,
14480,1336-BDB-SP28D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 60 HP,,,
63662,1336-BDB-SP29C,A,,,,
14482,1336-BDB-SP29D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 75 HP,,,
14484,1336-BDB-SP2D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 10 HP,,,
14486,1336-BDB-SP30D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 100 HP,,,
14488,1336-BDB-SP31D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 125 HP,,,
14535,1336-BDB-SP32D,A,"<p>Allen Bradley-PCB GATE DRIVE 1336STG 575V 75HP Adjustable Frequency Drive</p>
",,,
14490,1336-BDB-SP33D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 100 HP,,,
14492,1336-BDB-SP34D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 125 HP,,,
14536,1336-BDB-SP35D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,230V,75HP Adjustable Frequency Drive",,,
14537,1336-BDB-SP36D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,230V,100HP Adjustable Frequency Drive",,,
14494,1336-BDB-SP38D,A,"<p>Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 200 HP</p>
",,,
14496,1336-BDB-SP39D,A,"The Allen-Bradley 1336-BDB-SP39D is a component of the Bulletin 1336 drives. This unit is a conformally coated PCB gate driver working on voltage category of 460VAC, 200HP, compatible for 1336 Plus, Plus II, Impact and Force drives.  ",98.71794872,,
14498,1336-BDB-SP3D,A,Allen-Bradley PCB Gate Drive Board with 460V AC voltage and 15 HP,,,
14539,1336-BDB-SP3E,A,Allen Bradley-1336 KIT Adjustable Frequency Drive,,,
14540,1336-BDB-SP40D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,575V,150HP Adjustable Frequency Drive",,,
14500,1336-BDB-SP41D,A,Allen-Bradley PCB Gate Drive Board with 575V AC voltage and 200 HP,,,
14541,1336-BDB-SP42D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,575V,250HP Adjustable Frequency Drive",,,
14542,1336-BDB-SP43D,A,"Allen Bradley-PCB,GATE DRIVE,1336STG,460V,300HP Adjustable Frequency Drive",,,
