Product id,Part Number,"A (A=About, G=Generate, C=Customd, D=don�t touch)",Description,Highest similarity percentage,duplicates
29127,1305-BA01A-HA1,G,"1305-BA01A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Analog Speed Pot interface. English language",99.34210526,
29105,1305-BA01A-HA2,G,"1305-BA01A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Digital Up-Down Keys interface. English language",99.35897436,
29104,1305-BA01A-HAP,G,"1305-BA01A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and Programmer Only interface. English language",99.29577465,
29103,1305-BA01A-IT,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a .5 HP with .37 kW 1.3 A Output current. This Drive has a Italian language module and No HIM.",95.18072289,
29097,1305-BA02A,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a .75 HP with .55 kW 1.8 A Output current. This Drive has an English language module and No HIM.",96.96969697,
29106,1305-BA02A-DE,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a .75 HP with .55 kW 1.8 A Output current. This Drive has a German language module and No HIM.",96.96969697,
29119,1305-BA02A-HA1,G,"1305-BA02A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Analog Speed Pot interface. German language",95.70957096,
29107,1305-BA02A-HA2,G,"1305-BA02A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Digital Up-Down Keys interface. German language",98.40255591,
29108,1305-BA03A-DE,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 1 HP with .75 kW 2.3 A Output current. This Drive has a German language module and No HIM.",97.56097561,
29134,1305-BA03A-FR,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 1 HP with .75 kW 2.3 A Output current. This Drive has a French language module and No HIM.",97.54601227,
29125,1305-BA03A-HA1,G,"1305-BA03A-HA1 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Analog Speed Pot interface. English language",99.34210526,
29123,1305-BA03A-HA2,G,"1305-BA03A-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Digital Up-Down Keys interface. English language",99.35897436,
29124,1305-BA03A-HAP,G,"1305-BA03A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and Programmer Only interface. English language",99.29577465,
29132,1305-BA04A,G,"The 1305-BA04A is a product of Allen-Bradley that belongs to the bulletin 1305 adjustable AC Drive. It has a rated Input voltage of 380/460V, 3-Phase and with an output power of 1.5 kW (2.0 HP) and output current of 4.0 A.",96.01769912,
29110,1305-BA04A-DE,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 2 HP with 1.5 kW 4 A Output current. This Drive has a German language module and No HIM.",97.5308642,
29120,1305-BA04A-DE-HA2,G,"1305-BA04A-DE-HA2 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and HIM with Digital Up-Down Keys interface. German language",95.54140127,
29112,1305-BA04A-ES,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 2 HP with 1.5 kW 4 A Output current. This Drive has a Spanish language module and No HIM.",97.23076923,
29114,1305-BA04A-FR,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 2 HP with 1.5 kW 4 A Output current. This Drive has a French language module and No HIM.",95.0310559,
29098,1305-BA04A-HAP,G,"1305-BA04A-HAP 1305 AC Drives with IP 30 (NEMA Type 1) enclosure, 380-460V, Three Phase rating and Programmer Only interface. English language",99.29577465,
29116,1305-BA09A-DE,G,"This 1305 AC Drive has a voltage rating of 380-460V, Three Phase and is a 5 HP with 4 kW 9 A Output current. This Drive has a German language module and No HIM.",96.27329193,
63654,1305-BA09A-EN11,G,"<p>This Allen Bradley 1305 AC Drive is a 5 HP drive that requires 3 Phase 380-460 VAC.&nbsp;</p>
",,
63655,1305-BA09A-ES,G,,,
59539,1326AB-B515F-21-K5,G,"<p>This Ferrite AC Servo Motor(460V/380V AC) comes with a 149 mm frame diameter (165 mm bolt center) and a 1.5 in. magnet stack length. Depending on the voltage, this unit&#39;s motor speed is 460V: 5000rpm / 380V: 4000rpm, and the flange and shaft type is a IEC metric flang with keyway. The feedback type is a resolver-based feedback and has a 13.6 N-m (120 lb-in.) Holding brake with 24V DC coil for 1326AB-B5 frame series.</p>
",,2
59525,1326AB-B515G-21K5,G,"<p>This Ferrite AC Servo Motor(460V/380V AC) comes with a 149 mm frame diameter (165 mm bolt center) and a 1.5 in. magnet stack length. Depending on the voltage, this unit&#39;s motor speed is 460V: 5000rpm / 380V: 4000rpm, and the flange and shaft type is a IEC metric flang with keyway. The feedback type is a resolver-based feedback and has a 13.6 N-m (120 lb-in.) Holding brake with 24V DC coil for 1326AB-B5 frame series.</p>
",,2
63657,1326AB-B720E-M2L,G,,,
63658,1326AB-B730E-M2L,G,,,
63659,1326AB-B740E-M2L,G,,,
58292,1336E-A007-AA-EN-GM1-HA1-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 5.5 (7.5) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
58247,1336E-A007-AA-EN-HA1-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 5.5 (7.5) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
58205,1336E-A007-AA-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 5.5 (7.5) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.21882952,
58158,1336E-A007-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 5.5 (7.5) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.20051414,
58157,1336E-A010-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 7.5 (10) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98989899,
58221,1336E-A010-AE-EN-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 7.5 (10) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",99.5,
58140,1336E-A010-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 7.5 (10) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",97.93814433,
58156,1336E-A015-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,2
58220,1336E-A015-AA-EN-GM1-HA,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
58190,1336E-A015-AE-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.24561404,
58189,1336E-A040-AE-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 30 (40) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.49246231,
58188,1336E-A100-AE-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC unit with 75 (100) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.5,
58201,1336E-AQF10-AA-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 0.75 (1) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.78345499,
58161,1336E-AQF10-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 0.75 (1) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,2
58256,1336E-AQF10-AN-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 0.75 (1) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.77149877,
58284,1336E-AQF15-AE-EN-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 1.2 (1.5) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",97.59615385,
58162,1336E-AQF20-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 1.5 (2) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",97.07317073,
58164,1336E-AQF20-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 1.5 (2) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.52941176,
15100,1336E-AQF50-AA-EN,G,Allen-Bradley 1336 Impact Drive with 200-240V AC input voltage and a power rating of 5 horsepower,,
15101,1336E-AQF50-AN-EN,G,Allen-Bradley 1336 Impact Drive with 200-240V AC input voltage and a power rating of 5 horsepower,,
58280,1336E-AQF50-AN-EN-HA2-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 3.7 (5) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,2
58255,1336E-AQF50-AN-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 200-240VAC or 310VDC unit with 3.7 (5) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.77149877,
15102,1336E-B015-AA-EN,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 15 horsepower,,
58187,1336E-B015-AA-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
58215,1336E-B015-AA-EN-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
58246,1336E-B015-AA-EN-HA2-L7E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
15103,1336E-B015-AA-EN-HA2-L8E,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 15 horsepower,,
58191,1336E-B015-AA-EN-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.72122762,
15104,1336E-B015-AE-EN,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 15 horsepower,,
63661,1336E-B015-AE-EN-HA2,G,,,
58216,1336E-B015-AJ-EN-HJ2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) NEMA 12 (IP54) enclosure. This unit is in the English/English language.</p>
",97.44897959,
58155,1336E-B015-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,3
58288,1336E-B015-AN-EN-GM1-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,3
58180,1336E-B015-AN-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 11 (15) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",99.48453608,
15105,1336E-B015-AN-EN-HA2-L8E,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 15 horsepower,,
58154,1336E-B020-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,5
58287,1336E-B020-AA-EN-GM2-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,5
58245,1336E-B020-AA-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,5
58186,1336E-B020-AA-EN-HAB,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,5
58185,1336E-B020-AA-EN-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
58178,1336E-B020-AE-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",99,
58219,1336E-B020-AN-EN-HAP-L4,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 15 (20) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.96907216,
58152,1336E-B025-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 18.5 (25) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,2
58286,1336E-B025-AA-EN-GM1-HA2-L5,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 18.5 (25) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.99497487,
58181,1336E-B025-AE-EN-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 18.5 (25) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",99.00497512,
58139,1336E-B025-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 18.5 (25) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.45360825,
58151,1336E-B030-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
58299,1336E-B030-AA-EN-GM1-HA2-L7E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
58244,1336E-B030-AA-EN-HA2-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
58150,1336E-B030-AA-FR,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/French language.</p>
",96.69211196,
58149,1336E-B030-AE-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.49246231,
58298,1336E-B030-AN-EN-GM1-HA2-L7E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,2
58293,1336E-B030-AN-EN-GM1-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 22 (30) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.45360825,
58148,1336E-B040-AE-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 30 (40) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",,3
58218,1336E-B040-AE-EN-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 30 (40) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",,3
58230,1336E-B040-AE-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 30 (40) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.99497487,
15107,1336E-B040-AN-EN,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 40 horsepower,,
58176,1336E-B040-AN-EN-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 30 (40) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.96373057,
58159,1336E-B050-AA-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
58297,1336E-B050-AA-EN-GM1-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
58243,1336E-B050-AA-EN-HA2-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,4
58225,1336E-B050-AA-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
58141,1336E-B050-AE-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",99,
15108,1336E-B050-AE-EN-HA2-L8E,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 50 horsepower,,
58138,1336E-B050-AN-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,6
58242,1336E-B050-AN-EN-GM1-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,6
58241,1336E-B050-AN-EN-GM1-LSE,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,6
58240,1336E-B050-AN-EN-GM5-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,6
58213,1336E-B050-AN-EN-HAP-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,6
58227,1336E-B050-AN-EN-L8E-GM5,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 37 (50) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.70801034,
58239,1336E-B060-AA-EN-HA1-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
58212,1336E-B060-AA-EN-HA2-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",,3
15109,1336E-B060-AA-EN-HA2-L8E,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 60 horsepower,,
58184,1336E-B060-AA-EN-HAP,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
58147,1336E-B060-AE-EN,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",,2
58182,1336E-B060-AE-EN-HA2,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) NEMA 1 (IP20)/EMC enclosure. This unit is in the English/English language.</p>
",98.74686717,
15110,1336E-B060-AE-EN-HA2-L8E,G,Allen-Bradley 1336 Impact Drive with 380-480V AC input voltage and a power rating of 60 horsepower,,
58224,1336E-B060-AN-EN-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,3
58175,1336E-B060-AN-EN-L6,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",,3
58183,1336E-B060-AN-EN-L8E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 45 (60) kilowatts(horsepower) and has a(n) Open (IP00) enclosure. This unit is in the English/English language.</p>
",98.70801034,
58291,1336E-B075-AA-EN-GM1-HA2-L9E,G,"<p>This 1336 PLUS II Adjustable Frequency AC drive is a 380-480VAC unit with 56 (75) kilowatts(horsepower) and has a(n) NEMA 1 (IP20) enclosure. This unit is in the English/English language.</p>
",98.98477157,
