Specification,value,,,,,,,,template groups
Control Voltage,"380-400V 50Hz, 440V 60Hz","380-400V 50Hz, 440V 60Hz","380-400 Volts at 50Hz, 440 Volts at 60Hz","380-400 Volts at 50 Hertz, 440 Volts at 60 Hertz",,,,,Voltage
Control Voltage,36V DC,36V DC,36 Volts DC,36 Volts direct current,,,,,Voltage
Control Voltage,36V AC 50Hz,36V AC 50Hz,36 Volts AC at 50Hz,36 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,36-48V DC,36-48V DC,36-48 Volts DC,36-48 Volts direct current,,,,,Voltage
Control Voltage,347V 60Hz,347V 60Hz,347 Volts at 60Hz,347 Volts at 60 Hertz,,,,,Voltage
Control Voltage,"32V AC 50Hz, 36V AC 60Hz","32V AC 50Hz, 36V AC 60Hz","32 Volts AC at 50Hz, 36 Volts AC at 60Hz","32 Volts alternating current at 50 Hertz, 36 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,250V DC,250V DC,250 Volts DC,250 Volts direct current,,,,,Voltage
Control Voltage,250-500V AC/DC(w/ PLC input),250-500V AC/DC (with PLC input),250-500 Volts AC/DC (with PLC input),250-500 Volts alternating current/direct current (with programmable logic controller input),,,,,Voltage
Control Voltage,250-500V AC/DC,250-500V AC/DC,250-500 Volts AC/DC,250-500 Volts alternating current/direct current,,,,,Voltage
Control Voltage,24V DC,24V DC,24 Volts DC,24 Volts direct current,,,,,Voltage
Control Voltage,24V AC 60Hz,24V AC 60Hz,24 Volts AC at 60Hz,24 Volts alternating current at 60 Hertz,,,,,Voltage
Control Voltage,24V AC 50Hz,24V AC 50Hz,24 Volts AC at 50Hz,24 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,24V AC 50/60Hz,24V AC 50/60Hz,24 Volts AC at 50Hz or 60Hz,24 Volts alternating current at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,"240V AC 50Hz, 277V AC 60Hz","240V AC 50Hz, 277V AC 60Hz","240 Volts AC at 50Hz, 277 Volts AC at 60Hz","240 Volts alternating current at 50 Hertz, 277 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,240V 60Hz,240V 60Hz,240 Volts at 60Hz,240 Volts at 60 Hertz,,,,,Voltage
Control Voltage,240V 50/60Hz,240V 50/60Hz,240 Volts at 50Hz or 60Hz,240 Volts at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,24-60V AC-DC(w/ PLC input),24-60V AC-DC(with PLC input),24-60 Volts AC-DC(with PLC input),24-60 Volts alternating current-direct current(with programmable logic controller input),,,,,Voltage
Control Voltage,24-60V AC 20-60V DC,24-60V AC 20-60V DC,24-60 Volts AC 20-60 Volts DC,24-60 Volts alternating current 20-60 Volts direct current,,,,,Voltage
Control Voltage,230V DC,230V DC,230 Volts DC,230 Volts direct current,,,,,Voltage
Control Voltage,230V 50/60Hz,230V 50/60Hz,230 Volts at 50Hz or 60Hz,230 Volts at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,230-240V AC 50Hz,230-240V AC 50Hz,230-240 Volts AC at 50Hz,230-240 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,220V DC,220V DC,220 Volts DC,220 Volts direct current,,,,,Voltage
Control Voltage,220-250V DC,220-250V DC,220-250 Volts DC,220-250 Volts direct current,,,,,Voltage
Control Voltage,220-230V AC 50Hz,220-230V AC 50Hz,220-230 Volts AC at 50Hz,220-230 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,208V AC 60Hz,208V AC 60Hz,208 Volts AC at 60Hz,208 Volts alternating current at 60 Hertz,,,,,Voltage
Control Voltage,"200V AC 50Hz, 200-220V AC 60Hz","200V AC 50Hz, 200-220V AC 60Hz","200 Volts AC at 50Hz, 200-220 Volts AC at 60Hz","200 Volts alternating current at 50 Hertz, 200-220 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,200-230V 50/60Hz,200-230V 50/60Hz,200-230 Volts at 50Hz or 60Hz,200-230 Volts at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,"200-220V AC 50Hz, 208-240V AC 60Hz","200-220V AC 50Hz, 208-240V AC 60Hz","200-220 Volts AC at 50Hz, 208-240 Volts AC at 60Hz","200-220 Volts alternating current at 50 Hertz, 208-240 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,12V DC,12V DC,12 Volts DC,12 Volts direct current,,,,,Voltage
Control Voltage,12V AC 60Hz,12V AC 60Hz,12 Volts AC at 60Hz,12 Volts alternating current at 60 Hertz,,,,,Voltage
Control Voltage,12V AC 50Hz,12V AC 50Hz,12 Volts AC at 50Hz,12 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,127V AC 50Hz,127V AC 50Hz,127 Volts AC at 50Hz,127 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,125V DC,125V DC,125 Volts DC,125 Volts direct current,,,,,Voltage
Control Voltage,120V AC 50Hz,120V AC 50Hz,120 Volts AC at 50Hz,120 Volts alternating current at 50 Hertz,,,,,Voltage
Control Voltage,12-20V DC,12-20V DC,12-20 Volts DC,12-20 Volts direct current,,,,,Voltage
Control Voltage,115V DC,115V DC,115 Volts DC,115 Volts direct current,,,,,Voltage
Control Voltage,110V DC,110V DC,110 Volts DC,110 Volts direct current,,,,,Voltage
Control Voltage,"110V AC 50Hz, 120V AC 60Hz","110V AC 50Hz, 120V AC 60Hz","110 Volts AC at 50Hz, 120 Volts AC at 60Hz","110 Volts alternating current at 50 Hertz, 120 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,110V AC 50/60Hz,110V AC 50/60Hz,110 Volts AC at 50Hz or 60Hz,110 Volts alternating current at 50 Hertz or 60 Hertz,,,,,Voltage
Control Voltage,110-125V DC,110-125V DC,110-125 Volts DC,110-125 Volts direct current,,,,,Voltage
Control Voltage,"100V AC 50Hz, 100-110V AC 60Hz","100V AC 50Hz, 100-110V AC 60Hz","100 Volts AC at 50Hz, 100-110 Volts AC at 60Hz","100 Volts alternating current at 50 Hertz, 100-110 Volts alternating current at 60 Hertz",,,,,Voltage
Control Voltage,100-250V AC/DC(w/ PLC input),100-250V AC/DC (with PLC input),100-250 Volts AC/DC (with PLC input),100-250 Volts alternating current/direct current (with programmable logic controller input),,,,,Voltage
Control Voltage,100-250V AC/DC,100-250V AC/DC,100-250 Volts AC/DC,100-250 Volts alternating current/direct current,,,,,Voltage
Control Frequency,60Hz,,,,,,,,
Control Frequency,50Hz,,,,,,,,
Control Frequency,50/60Hz,,,,,,,,
Control Frequency,"50, 60Hz",,,,,,,,
Options,With gold-plated bifurcated auxiliary contacts,gold-plated bifurcated auxiliary contacts,bifurcated auxiliary contacts,,,,,,Options
Options,With cross-stamped front-mount auxiliary contacts,cross-stamped front-mount auxiliary contacts,front-mount auxiliary contacts,,,,,,Options
Options,With Built-in Lugs,built-in lugs,,,,,,,Options
Options,Bar Connections,bar connections,,,,,,,Options
