"product id","Part Number",Description
8670959,100-E12KN10,"The Rockwell Automation 100-E12KN10 IEC contactor is a 12 A rated IEC contactor. It comes with bar connections. It comes with a 250-500 Volts alternating current/direct current control coil with an integrated diode. In addition, this IEC contactor comes with 1 normally open auxiliary contact. "
8670960,100-E12KY01,"This Allen-Bradley/Rockwell Automation 100 series electromechanical contactor switch has a rating of 12 Amps. This 100 series E frame electromechanical contactor has 1 N.C. auxiliary contact. This 100 series E frame IEC contactor has bar connections. This 100 series IEC contactor operates at 48-130V AC/DC. "
8670961,100-E12KY10,"The Allen-Bradley 100-E12KY10 contactor has a rating of 12 Amps. This contactor has bar connections. This 100 series electromechanical contactor additionally has 1 normally open auxiliary contact. In addition, this electromechanical contactor has a 48-130 Volts AC/DC control coil with an integrated diode. "
8670962,100-E12QJ01,"This E frame built by AB has a breaking amperage rating of 12 Amps. This 100 series electromechanical contactor switch operates at 24V DC. This IEC contactor has 1 normally closed auxiliary contact. This 100 series contactor switch comes with bar connections. "
8670963,100-E12QJ10,"This AB 12 Amps 100 series E frame electromechanical contactor switch operates at 24 Volts DC. It comes with bar connections. Also, this 100 series E frame electromechanical contactor switch has 1 N.O. auxiliary contact. "
8669524,100-E146ED11,"This AB 100 series E frame contactor switch comes with a rating of 146 Amps. In addition, this E frame electromechanical contactor comes with 1 normally open 1 normally closed auxiliary contacts. This 100 series E frame electromechanical contactor switch has bar connections. This 100 series E frame IEC contactor also comes with a 100-250V AC/DC (with PLC input) control coil with an integrated diode. "
8669525,100-E146ED11L,"This electromechanical contactor made by Allen-Bradley is a 146 Amps contactor switch. Additionally, this AB contactor switch comes with 1 normally open 1 normally closed auxiliary contacts. This electromechanical contactor switch has built-in lugs. This 100 series E frame IEC contactor also has a 100-250 Volts alternating current/direct current (with programmable logic controller input) control coil that contains an integrated diode. "
8669526,100-E146EN11,"The Rockwell Automation 100-E146EN11 electromechanical contactor has a breaking amperage rating of 146 A. Furthermore, this IEC contactor also comes with bar connections. This 100 series electromechanical contactor switch operates at 250-500 Volts AC/DC (with PLC input). This E frame IEC contactor comes with 1 N.O. 1 N.C. auxiliary contacts. "
8669527,100-E146EN11L,"This 100 series made by Allen-Bradley is a 146 A rated switch. Also, this switch has a 250-500 Volts alternating current/direct current (with programmable logic controller input) control coil that contains an integrated diode. In addition, this Allen-Bradley IEC contactor has built-in lugs. This electromechanical contactor has 1 N.O. 1 N.C. auxiliary contacts. "
8669520,100-E146KD11,"This 100 series E frame by Allen-Bradley/Rockwell Automation comes with a breaking rating of 146 Amps. Furthermore, this module has bar connections. It has 1 N.O. 1 N.C. auxiliary contacts. In addition, this Allen Bradley electromechanical contactor switch operates at 100-250 Volts AC/DC. "
8669521,100-E146KD11L,"This Rockwell Automation 146 A 100 series E frame IEC contactor comes with 1 normally open 1 normally closed auxiliary contacts. Also, this Allen-Bradley/Rockwell Automation electromechanical contactor switch is a 100-250 Volts alternating current/direct current switch. This 100 series E frame contactor switch additionally has built-in lugs. "
8669516,100-E146KJ11,"This Allen-Bradley 100 series E frame electromechanical contactor is a 146 Amps rated electromechanical contactor switch. This contactor switch has bar connections. It has 1 normally open 1 normally closed auxiliary contacts. "
8669517,100-E146KJ11L,"This E frame made by Allen-Bradley/Rockwell Automation is a 146 A rated electromechanical contactor. This E frame contactor also has built-in lugs. This 100 series E frame switch has 1 normally open 1 normally closed auxiliary contacts. "
8669522,100-E146KN11,"The Allen-Bradley 100-E146KN11 contactor switch comes with a current rating of 146 A. In addition, it comes with 1 normally open 1 normally closed auxiliary contacts. This 100 series electromechanical contactor operates at 250-500V AC/DC. Also, this Rockwell Automation IEC contactor comes with bar connections. "
8669523,100-E146KN11L,"This 100 series built by Rockwell Automation is a 146 Amps rated electromechanical contactor. Also, this electromechanical contactor operates at 250-500 Volts AC/DC. This 100 series switch has built-in lugs. This E frame IEC contactor comes with 1 normally open 1 normally closed auxiliary contacts. "
8669518,100-E146KY11,"The AB 100-E146KY11 switch is a 146 Amps switch. Additionally, this 100 series IEC contactor comes with a 48-130 Volts AC/DC control coil that utilizes an integrated diode. Also, this Allen-Bradley contactor comes with 1 normally open 1 normally closed auxiliary contacts. It comes with bar connections. "
8669519,100-E146KY11L,"This Allen-Bradley/Rockwell Automation 146 A 100 series contactor has 1 normally open 1 normally closed auxiliary contacts. This IEC contactor operates at 48-130V AC/DC. In addition, this Allen-Bradley contactor switch comes with built-in lugs. "
8670964,100-E16EJ01,"The 100-E16EJ01 constructed by AB comes with a breaking rating of 16 Amps. This 100 series E frame electromechanical contactor additionally comes with bar connections. Also, this Rockwell Automation contactor is a 24-60 Volts AC-DC(with PLC input) contactor. This 100 series contactor has 1 N.C. auxiliary contact. "
8670965,100-E16EJ10,"This IEC contactor made by Allen Bradley is a 16 A rated contactor. In addition, this contactor switch comes with bar connections. This electromechanical contactor operates at 24-60 Volts alternating current-direct current(with programmable logic controller input). This 100 series E frame IEC contactor comes with 1 normally open auxiliary contact. "
8670966,100-E16EJ200,"This contactor switch manufactured by Allen Bradley is a 16 Amps contactor switch. This 100 series E frame IEC contactor has bar connections. Furthermore, this module is a 24-60 Volts AC-DC(with PLC input) contactor. "
8670967,100-E16EJ400,"This contactor built by Allen Bradley is a 16 Amps electromechanical contactor switch. Furthermore, this module also operates at 24-60 Volts alternating current-direct current(with programmable logic controller input). This 100 series E frame switch also comes with bar connections. "
8670968,100-E16EQ01,"This E frame made by AB comes with an amperage rating of 16 A. In addition, this 100 series switch has 1 normally closed auxiliary contact. This IEC contactor is a 12-20V DC electromechanical contactor. Additionally, this 100 series contactor has bar connections. "
8670969,100-E16EQ10,"This contactor by Rockwell Automation comes with a breaking amperage rating of 16 A. This E frame contactor switch additionally operates at 12-20V DC. Also, this 100 series switch has bar connections. This 100 series electromechanical contactor has 1 normally open auxiliary contact. "
8670970,100-E16EQ200,"The 100-E16EQ200 made by Rockwell Automation comes with a rating of 16 Amps. In addition, it comes with a 12-20V DC control coil that contains an integrated diode. Additionally, this AB contactor has bar connections. "
8670972,100-E16KD01,"This Allen Bradley 100 series electromechanical contactor switch comes with a breaking amperage rating of 16 Amps. It comes with bar connections. Also, this 100 series switch has 1 N.C. auxiliary contact. In addition, this contactor has a 100-250 Volts AC/DC control coil that utilizes an integrated diode. "
8670973,100-E16KD10,"This 100 series assembled by Allen-Bradley is a 16 Amps rated contactor switch. Additionally, this E frame electromechanical contactor switch comes with bar connections. This electromechanical contactor comes with a 100-250 Volts AC/DC control coil that utilizes an integrated diode. In addition, this contactor comes with 1 N.O. auxiliary contact. "
8670974,100-E16KD200,"The 100-E16KD200 manufactured by AB comes with a breaking current rating of 16 Amps. This E frame contactor switch is a 100-250 Volts AC/DC contactor. It comes with bar connections. "
8670975,100-E16KD400,"This Allen Bradley 16 Amps 100 series E frame electromechanical contactor switch has a 100-250 Volts AC/DC control coil with an integrated diode. In addition, this Rockwell Automation electromechanical contactor switch comes with bar connections. "
8670976,100-E16KJ01,"The Rockwell Automation 100-E16KJ01 contactor switch comes with a breaking amperage rating of 16 Amps. Additionally, this IEC contactor comes with bar connections. This 100 series contactor switch comes with 1 N.C. auxiliary contact. "
8670977,100-E16KJ10,"This IEC contactor built by AB is a 16 Amps rated IEC contactor. This electromechanical contactor switch has 1 N.O. auxiliary contact. In addition, this electromechanical contactor comes with bar connections. "
8670980,100-E16KN01,"This Rockwell Automation 16 A 100 series contactor comes with a 250-500 Volts alternating current/direct current control coil with an integrated diode. Also, it has 1 N.C. auxiliary contact. This 100 series E frame contactor switch has bar connections. "
8670981,100-E16KN10,"This AB 16 Amps 100 series E frame contactor has bar connections. Additionally, this switch comes with 1 N.O. auxiliary contact. This E frame switch in addition has a 250-500 Volts AC/DC control coil with an integrated diode. "
8670982,100-E16KN200,"The 100-E16KN200 assembled by Allen-Bradley/Rockwell Automation comes with an amperage rating of 16 A. Additionally, this electromechanical contactor has a 250-500 Volts AC/DC control coil that contains an integrated diode. Furthermore, this Allen-Bradley IEC contactor also comes with bar connections. "
8670984,100-E16KY01,"This AB 16 Amps 100 series E frame switch comes with 1 normally closed auxiliary contact. It has bar connections. This electromechanical contactor is a 48-130V AC/DC electromechanical contactor switch. "
8670985,100-E16KY10,"This Rockwell Automation 16 A 100 series contactor is a 48-130V AC/DC contactor switch. Also, this 100 series E frame switch has bar connections. Additionally, this electromechanical contactor comes with 1 N.O. auxiliary contact. "
8670986,100-E16KY200,"This E frame manufactured by Rockwell Automation comes with a breaking rating of 16 A. In addition, this E frame electromechanical contactor switch operates at 48-130 Volts AC/DC. This electromechanical contactor has bar connections. "
8670987,100-E16KY400,"The Allen-Bradley 100-E16KY400 electromechanical contactor switch has a breaking amperage rating of 16 Amps. It has bar connections. Furthermore, this contactor is a 48-130 Volts alternating current/direct current IEC contactor. "
8670988,100-E16QJ01,"This IEC contactor manufactured by Rockwell Automation is a 16 A electromechanical contactor switch. Also, this Allen-Bradley/Rockwell Automation contactor switch comes with bar connections. This E frame switch is a 24 Volts DC contactor switch. Furthermore, it also has 1 normally closed auxiliary contact. "
8670989,100-E16QJ10,"This 100 series built by Allen-Bradley/Rockwell Automation is a 16 Amps switch. Additionally, this E frame electromechanical contactor comes with a 24V DC control coil with an integrated diode. Furthermore, this Allen-Bradley contactor also comes with 1 N.O. auxiliary contact. Also, this AB contactor switch has bar connections. "
8670991,100-E16QJ400,"This Rockwell Automation 100 series contactor is a 16 A rated contactor switch. This 100 series IEC contactor in addition has bar connections. It has a 24V DC control coil with an integrated diode. "
8669532,100-E190ED11,"This contactor by Allen Bradley comes with a breaking amperage rating of 190 Amps. Additionally, this Allen Bradley electromechanical contactor has 1 normally open 1 normally closed auxiliary contacts. This 100 series switch also comes with bar connections. Furthermore, this Allen-Bradley IEC contactor operates at 100-250 Volts alternating current/direct current (with programmable logic controller input). "
8669533,100-E190EN11,"This E frame by Allen-Bradley has a breaking rating of 190 Amps. It is a 250-500 Volts alternating current/direct current (with programmable logic controller input) switch. This electromechanical contactor comes with bar connections. This 100 series contactor switch comes with 1 normally open 1 normally closed auxiliary contacts. "
8669530,100-E190KD11,"The Allen Bradley 100-E190KD11 contactor has a breaking current rating of 190 Amps. This 100 series contactor has 1 normally open 1 normally closed auxiliary contacts. Furthermore, this Allen-Bradley contactor also is a 100-250 Volts alternating current/direct current electromechanical contactor. This 100 series electromechanical contactor switch has bar connections. "
8669528,100-E190KJ11,"The 100-E190KJ11 made by Rockwell Automation comes with a current rating of 190 Amps. Furthermore, this Allen-Bradley IEC contactor also comes with 1 normally open 1 normally closed auxiliary contacts. This 100 series E frame switch comes with bar connections. "
8669531,100-E190KN11,"This Allen Bradley 100 series contactor switch has a rating of 190 A. This IEC contactor has a 250-500V AC/DC control coil that contains an integrated diode. This contactor switch has 1 N.O. 1 N.C. auxiliary contacts. This E frame switch also has bar connections. "
8669529,100-E190KY11,"The 100-E190KY11 by Allen-Bradley/Rockwell Automation has an amperage rating of 190 Amps. It comes with 1 normally open 1 normally closed auxiliary contacts. Additionally, this Allen-Bradley/Rockwell Automation electromechanical contactor has bar connections. Also, this IEC contactor has a 48-130 Volts AC/DC control coil that utilizes an integrated diode. "
8669538,100-E205ED11,"The 100-E205ED11 constructed by Allen Bradley is a 205 A rated contactor. This E frame switch operates at 100-250 Volts AC/DC (with PLC input). Additionally, this Allen Bradley electromechanical contactor switch has 1 normally open 1 normally closed auxiliary contacts. This 100 series E frame contactor switch has bar connections. "
8669539,100-E205EN11,"This E frame assembled by Allen-Bradley/Rockwell Automation is a 205 Amps IEC contactor. This 100 series E frame IEC contactor operates at 250-500V AC/DC (with PLC input). In addition, this Rockwell Automation electromechanical contactor has 1 normally open 1 normally closed auxiliary contacts. This E frame contactor additionally comes with bar connections. "
8669536,100-E205KD11,"This Allen-Bradley 205 Amps 100 series E frame contactor switch has bar connections. Furthermore, this contactor operates at 100-250V AC/DC. This 100 series switch also comes with 1 N.O. 1 N.C. auxiliary contacts. "
8669534,100-E205KJ11,"The 100-E205KJ11 by Allen-Bradley/Rockwell Automation is a 205 A rated IEC contactor. Additionally, this 100 series E frame IEC contactor has 1 normally open 1 normally closed auxiliary contacts. Furthermore, it also comes with bar connections. "
8669537,100-E205KN11,"This AB 205 Amps 100 series electromechanical contactor operates at 250-500V AC/DC. Additionally, this electromechanical contactor has bar connections. Furthermore, this Allen-Bradley contactor comes with 1 normally open 1 normally closed auxiliary contacts. "
8669535,100-E205KY11,"This Allen-Bradley E frame electromechanical contactor is a 205 A switch. This contactor comes with 1 normally open 1 normally closed auxiliary contacts. It comes with bar connections. In addition, it operates at 48-130V AC/DC. "
8669544,100-E265ED11,"This 100 series E frame built by AB has a breaking amperage rating of 265 Amps. Additionally, this switch comes with bar connections. This switch comes with 1 N.O. 1 N.C. auxiliary contacts. Also, this 100 series contactor switch operates at 100-250 Volts alternating current/direct current (with programmable logic controller input). "
8669545,100-E265EN11,"This Allen-Bradley/Rockwell Automation 265 Amps 100 series E frame switch comes with a 250-500 Volts AC/DC (with PLC input) control coil that contains an integrated diode. Also, it comes with 1 N.O. 1 N.C. auxiliary contacts. It has bar connections. "
8669542,100-E265KD11,"The 100-E265KD11 manufactured by Rockwell Automation has a breaking current rating of 265 Amps. This 100 series E frame electromechanical contactor also has 1 N.O. 1 N.C. auxiliary contacts. In addition, this contactor switch operates at 100-250 Volts alternating current/direct current. This 100 series E frame switch has bar connections. "
8669540,100-E265KJ11,"This 100 series E frame manufactured by Allen Bradley has a rating of 265 A. Additionally, this Allen-Bradley IEC contactor has bar connections. This 100 series switch has 1 N.O. 1 N.C. auxiliary contacts. "
8669543,100-E265KN11,"The 100-E265KN11 assembled by Allen-Bradley/Rockwell Automation comes with a rating of 265 A. It has bar connections. Also, this Allen-Bradley/Rockwell Automation contactor switch comes with 1 N.O. 1 N.C. auxiliary contacts. In addition, it operates at 250-500 Volts alternating current/direct current. "
8669541,100-E265KY11,"The 100-E265KY11 by Allen Bradley is a 265 A contactor. This 100 series switch operates at 48-130 Volts AC/DC. It comes with bar connections. Furthermore, this IEC contactor also has 1 N.O. 1 N.C. auxiliary contacts. "
8670992,100-E26EJ00,"This Allen-Bradley/Rockwell Automation 100 series electromechanical contactor switch comes with an amperage rating of 26 A. Additionally, this Allen-Bradley/Rockwell Automation electromechanical contactor switch has bar connections. This switch comes with a 24-60 Volts AC-DC(with PLC input) control coil that utilizes an integrated diode. "
8670993,100-E26EJ200,"This 100 series built by AB is a 26 A rated switch. In addition, this Allen Bradley IEC contactor is a 24-60V AC-DC(with PLC input) contactor switch. Additionally, this E frame switch has bar connections. "
8670994,100-E26EJ400,"This 100 series assembled by Allen-Bradley/Rockwell Automation comes with a breaking current rating of 26 Amps. In addition, it has bar connections. It is a 24-60 Volts AC-DC(with PLC input) electromechanical contactor switch. "
8670995,100-E26EQ00,"The Rockwell Automation 100-E26EQ00 IEC contactor comes with a current rating of 26 Amps. Furthermore, this IEC contactor has a 12-20 Volts DC control coil with an integrated diode. This 100 series contactor in addition comes with bar connections. "
8670996,100-E26EQ200,"This 100 series manufactured by Rockwell Automation is a 26 A rated electromechanical contactor switch. This 100 series E frame electromechanical contactor comes with bar connections. Furthermore, this unit also operates at 12-20 Volts direct current. "
8670997,100-E26EQ400,"This electromechanical contactor made by Allen-Bradley is a 26 Amps rated electromechanical contactor. This 100 series E frame electromechanical contactor operates at 12-20V DC. This E frame switch has bar connections. "
8670999,100-E26KD200,"The 100-E26KD200 by Allen-Bradley/Rockwell Automation is a 26 A rated contactor. It has bar connections. In addition, this electromechanical contactor comes with a 100-250 Volts alternating current/direct current control coil that contains an integrated diode. "
8671000,100-E26KD400,"The 100-E26KD400 built by Allen-Bradley/Rockwell Automation comes with a rating of 26 Amps. This 100 series E frame electromechanical contactor has bar connections. It is a 100-250 Volts AC/DC electromechanical contactor. "
8671001,100-E26KJ00,"This IEC contactor constructed by Rockwell Automation has a breaking amperage rating of 26 A. This IEC contactor comes with bar connections. "
8671005,100-E26KN200,"This AB E frame contactor is a 26 A contactor switch. Additionally, it has bar connections. This E frame electromechanical contactor in addition is a 250-500 Volts AC/DC electromechanical contactor switch. "
8671006,100-E26KN400,"This 100 series by Allen Bradley is a 26 A electromechanical contactor. In addition, it has bar connections. Additionally, this Allen Bradley IEC contactor has a 250-500 Volts alternating current/direct current control coil with an integrated diode. "
