"Product Number",MPN,Manufacturer,Series,"Product Type","Terminal Type",Options,"Contactor Amperage","Control Voltage","Auxiliary Contacts","Main Poles"
100-E-116-EN-11-L,100-E116EN11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-116-KD-11,100-E116KD11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-116-KD-11-L,100-E116KD11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-116-KJ-11,100-E116KJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-116-KJ-11-L,100-E116KJ11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-116-KN-11,100-E116KN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-116-KN-11-L,100-E116KN11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-116-KY-11,100-E116KY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","116 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-116-KY-11-L,100-E116KY11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","116 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-1260-ED-11,100-E1260ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","1260 A (AC-1 only)","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-1260-EJ-11,100-E1260EJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","1260 A (AC-1 only)","24-60V AC-DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-1260-EY-11,100-E1260EY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","1260 A (AC-1 only)","48-130V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-12-EJ-01,100-E12EJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24-60V AC-DC(w/ PLC input)","0 N.O. 1 N.C.",3
100-E-12-EJ-10,100-E12EJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24-60V AC-DC(w/ PLC input)","1 N.O. 0 N.C.",3
100-E-12-EQ-01,100-E12EQ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"12-20V DC","0 N.O. 1 N.C.",3
100-E-12-EQ-10,100-E12EQ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"12-20V DC","1 N.O. 0 N.C.",3
100-E-12-KD-01,100-E12KD01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"100-250V AC/DC","0 N.O. 1 N.C.",3
100-E-12-KD-10,100-E12KD10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"100-250V AC/DC","1 N.O. 0 N.C.",3
100-E-12-KJ-01,100-E12KJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24-60V AC 20-60V DC","0 N.O. 1 N.C.",3
100-E-12-KJ-10,100-E12KJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24-60V AC 20-60V DC","1 N.O. 0 N.C.",3
100-E-12-KN-01,100-E12KN01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"250-500V AC/DC","0 N.O. 1 N.C.",3
100-E-12-KN-10,100-E12KN10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"250-500V AC/DC","1 N.O. 0 N.C.",3
100-E-12-KY-01,100-E12KY01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"48-130V AC/DC","0 N.O. 1 N.C.",3
100-E-12-KY-10,100-E12KY10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"48-130V AC/DC","1 N.O. 0 N.C.",3
100-E-12-QJ-01,100-E12QJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24V DC","0 N.O. 1 N.C.",3
100-E-12-QJ-10,100-E12QJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",12A,"24V DC","1 N.O. 0 N.C.",3
100-E-146-ED-11,100-E146ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-146-ED-11-L,100-E146ED11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-146-EN-11,100-E146EN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-146-EN-11-L,100-E146EN11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-146-KD-11,100-E146KD11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-146-KD-11-L,100-E146KD11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-146-KJ-11,100-E146KJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-146-KJ-11-L,100-E146KJ11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-146-KN-11,100-E146KN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-146-KN-11-L,100-E146KN11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-146-KY-11,100-E146KY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","146 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-146-KY-11-L,100-E146KY11L,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"With Built-in Lugs","146 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-16-EJ-01,100-E16EJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC-DC(w/ PLC input)","0 N.O. 1 N.C.",3
100-E-16-EJ-10,100-E16EJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC-DC(w/ PLC input)","1 N.O. 0 N.C.",3
100-E-16-EJ-200,100-E16EJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-EJ-400,100-E16EJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-EQ-01,100-E16EQ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"12-20V DC","0 N.O. 1 N.C.",3
100-E-16-EQ-10,100-E16EQ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"12-20V DC","1 N.O. 0 N.C.",3
100-E-16-EQ-200,100-E16EQ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"12-20V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-EQ-400,100-E16EQ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"12-20V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-KD-01,100-E16KD01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"100-250V AC/DC","0 N.O. 1 N.C.",3
100-E-16-KD-10,100-E16KD10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"100-250V AC/DC","1 N.O. 0 N.C.",3
100-E-16-KD-200,100-E16KD200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"100-250V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-KD-400,100-E16KD400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"100-250V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-KJ-01,100-E16KJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC 20-60V DC","0 N.O. 1 N.C.",3
100-E-16-KJ-10,100-E16KJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC 20-60V DC","1 N.O. 0 N.C.",3
100-E-16-KJ-200,100-E16KJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-KJ-400,100-E16KJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-KN-01,100-E16KN01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"250-500V AC/DC","0 N.O. 1 N.C.",3
100-E-16-KN-10,100-E16KN10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"250-500V AC/DC","1 N.O. 0 N.C.",3
100-E-16-KN-200,100-E16KN200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"250-500V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-KN-400,100-E16KN400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"250-500V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-KY-01,100-E16KY01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"48-130V AC/DC","0 N.O. 1 N.C.",3
100-E-16-KY-10,100-E16KY10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"48-130V AC/DC","1 N.O. 0 N.C.",3
100-E-16-KY-200,100-E16KY200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"48-130V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-KY-400,100-E16KY400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"48-130V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-16-QJ-01,100-E16QJ01,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24V DC","0 N.O. 1 N.C.",3
100-E-16-QJ-10,100-E16QJ10,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24V DC","1 N.O. 0 N.C.",3
100-E-16-QJ-200,100-E16QJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-16-QJ-400,100-E16QJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",16A,"24V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-190-ED-11,100-E190ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-190-EN-11,100-E190EN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-190-KD-11,100-E190KD11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-190-KJ-11,100-E190KJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-190-KN-11,100-E190KN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-190-KY-11,100-E190KY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","190 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-205-ED-11,100-E205ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-205-EN-11,100-E205EN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-205-KD-11,100-E205KD11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-205-KJ-11,100-E205KJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-205-KN-11,100-E205KN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-205-KY-11,100-E205KY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","205 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-265-ED-11,100-E265ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-265-EN-11,100-E265EN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","250-500V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
100-E-265-KD-11,100-E265KD11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","100-250V AC/DC","1 N.O. 1 N.C.",3
100-E-265-KJ-11,100-E265KJ11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","24-60V AC 20-60V DC","1 N.O. 1 N.C.",3
100-E-265-KN-11,100-E265KN11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","250-500V AC/DC","1 N.O. 1 N.C.",3
100-E-265-KY-11,100-E265KY11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","265 A","48-130V AC/DC","1 N.O. 1 N.C.",3
100-E-26-EJ-00,100-E26EJ00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.",3
100-E-26-EJ-200,100-E26EJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-EJ-400,100-E26EJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC-DC(w/ PLC input)","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-EQ-00,100-E26EQ00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"12-20V DC","0 N.O. 0 N.C.",3
100-E-26-EQ-200,100-E26EQ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"12-20V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-EQ-400,100-E26EQ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"12-20V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-KD-00,100-E26KD00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"100-250V AC/DC","0 N.O. 0 N.C.",3
100-E-26-KD-200,100-E26KD200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"100-250V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-KD-400,100-E26KD400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"100-250V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-KJ-00,100-E26KJ00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.",3
100-E-26-KJ-200,100-E26KJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-KJ-400,100-E26KJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24-60V AC 20-60V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-KN-00,100-E26KN00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"250-500V AC/DC","0 N.O. 0 N.C.",3
100-E-26-KN-200,100-E26KN200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"250-500V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-KN-400,100-E26KN400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"250-500V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-KY-00,100-E26KY00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"48-130V AC/DC","0 N.O. 0 N.C.",3
100-E-26-KY-200,100-E26KY200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"48-130V AC/DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-KY-400,100-E26KY400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"48-130V AC/DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-26-QJ-00,100-E26QJ00,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24V DC","0 N.O. 0 N.C.",3
100-E-26-QJ-200,100-E26QJ200,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24V DC","0 N.O. 0 N.C.","2 N.O. 2 N.C."
100-E-26-QJ-400,100-E26QJ400,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections",26A,"24V DC","0 N.O. 0 N.C.","4 N.O. 0 N.C."
100-E-305-ED-11,100-E305ED11,"Allen Bradley","MCS-E Contactor","Large Frame IEC Contactor",Standard,"Bar Connections","305 A","100-250V AC/DC(w/ PLC input)","1 N.O. 1 N.C.",3
