A -- 1-3,Manufacturer,Series,B -- 4-9,IEC Contactor,Screw Terminals,Spring Terminals,Max Current,Current Rating,Features,Contacts,Coil Voltages,Optional Overload Relays,Optional Accessories,Standards/Certifications,Terminal Coil AC Voltages,Terminal Coil DC Voltages,Contact Assignment Type
,,,K05ZD10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 110V,10
,,,K05ZS10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 125V,10
,,,K05ZA10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 220V,10
,,,K05ZT10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 250V,10
,,,KR05KJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 24V 50/60Hz,-,10
,,,KR05D10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 110V 50Hz/ 120V 60Hz,-,10
,,,KR05KF10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 230V 50/60Hz,-,10
,,,KR05ZJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V,10
,,,KR05DJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V with Integrated Diode,10
,,,KR05ZD10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 110V,10
,,,K09KJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 24 V 50/60 Hz,-,10
,,,K09D10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 110V 50Hz/ 120V 60Hz,-,10
,,,K09KF10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 230V 50/60Hz,-,10
,,,K09KA10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 240V 50/60 Hz,-,10
,,,K09KN10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 400V 50/60Hz,-,10
,,,K09B10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 480V 60Hz,-,10
,,,K09VC10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 600V 60Hz,-,10
,,,K09ZQ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 12V,10
,,,K09ZJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V,10
,,,K09DJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V with Integrated Diode,10
,,,K09ZD10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 110V,10
,,,K09ZS10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 125V,10
,,,K09ZA10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 220V,10
,,,K09ZT10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 250V,10
,,,KR09KJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 24V 50/60Hz,-,10
,,,KR09D10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 110V 50Hz/ 120V 60Hz,-,10
,,,KR09KF10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 230V 50/60Hz,-,10
,,,KR09ZJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V,10
,,,KR09DJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V with Integrated Diode,10
,,,KR09ZD10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 110V,10
,,,K12KJ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 24 V 50/60 Hz,-,10
,,,K12D10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 110V 50Hz/ 120V 60Hz,-,10
,,,K12KF10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 230V 50/60Hz,-,10
,,,K12KA10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 240V 50/60 Hz,-,10
,,,K12KN10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 400V 50/60Hz,-,10
,,,K12B10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 480V 60Hz,-,10
,,,K12VC10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 600V 60Hz,-,10
,,,K12ZQ10,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 12V,10
