A -- 1-3,Manufacturer,Series,B -- 4-4,Voltage,Ph.,Prechg.,C1 -- 5-7 (240V),Amps,Hp,Frame,C2 -- 5-7 (400V),Amps,kW,Frame,C3 -- 5-7 (480V),Amps,Hp,Frame,C4 -- 5-7 (600V),Amps,Hp,Frame,C5 -- 5-7 (690V),Amps,kW,Frame,D -- 8-8,Enclosure,E -- 9-9,Operator Interface,F -- 10-10,Documentation,G -- 11-11,w/Brake IGBT,H -- 12-12,w/Resistor,I -- 13-13,CE Filter,CM Choke,J -- 14-14,Network Type,K -- 15-15,Control,I/O Volts,L -- 16-16,Type,N -- 19-20,Type
,,,,,,,130,130,50,5,072,72,37,3,065,65,50,3,062,62,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,154,154,60,6,085,85,45,4,077,77,60,4,077,77,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,192,192,75,6,105,105,55,5,096,96,75,5,099,99,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,260,260,100,6,125,125,55,5,125,125,100,5,125,125,125,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,140,140,75,5,156,156,125,6,144,144,150,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,170,170,90,6,180,180,150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,205,205,110,6,248,248,200,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,260,260,132,6,292,292,250,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,292,292,160,7,325,325,250,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,325,325,180,7,365,365,300,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,365,365,200,8,415,415,350,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,415,415,240,8,481,481,400,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,481,481,280,8,535,535,450,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,535,535,300,8,600,600,500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,600,600,350,8,730,730,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,730,730,400,9,875,875,700,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,875,875,500,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
